week,date,pres,task,case_study,datacamp,package
1,8/26/19,PS_01,TK_01,CS_01,,
2,9/2/19,PS_02,TK_02,CS_02,,
3,9/9/19,PS_03,TK_03,CS_03,,1
4,9/16/19,PS_04,TK_04,CS_04,,2
5,9/23/19,PS_05,TK_05,CS_05,,3
6,9/30/19,PS_06,TK_06,CS_06,,4
7,10/7/19,PS_07,TK_07,CS_07,,5
8,10/14/19,PS_08,TK_08,CS_08,,6
9,10/21/19,PS_09,TK_09,CS_09,,7
10,10/28/19,PS_10,TK_10,CS_10,,8
11,11/4/19,PS_11,TK_11,CS_11,,9
12,11/11/19,PS_12,TK_12,CS_12,,10
13,11/18/19,PS_13,TK_13,CS_13,,
14,11/25/19,,,,,
15,12/2/19,,,,,
16,12/9/19,,,,,
